"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.62024480450863,0.510129631677811,0.734386478572072,0.664516129032258,0.590687683666867,0.741689746384402,0.655555555555556,0.593333333333333,0.722222222222222
"Eligibility",0.728682170542636,NA,NA,0.681818181818182,NA,NA,0.56,NA,NA
"Recruitment",0.50354609929078,NA,NA,0.615384615384615,NA,NA,0.74,NA,NA
"Setting",0.439252336448598,NA,NA,0.6,NA,NA,0.7,NA,NA
"Organization",0.620689655172414,NA,NA,0.705882352941177,NA,NA,0.66,NA,NA
"Flex. delivery",0.511400651465798,NA,NA,0.625,NA,NA,0.68,NA,NA
"Flex. adherence",0.504015115729806,NA,NA,0.684210526315789,NA,NA,0.62,NA,NA
"Follow-up",0.626168224299065,NA,NA,0.583333333333333,NA,NA,0.76,NA,NA
"Outcome",0.499165275459099,NA,NA,0.863636363636364,NA,NA,0.56,NA,NA
"Analysis",0.52054794520548,NA,NA,0.526315789473684,NA,NA,0.62,NA,NA
