"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","2","deferred","deferred","2","deferred","NA","deferred","deferred","4"
"1529","3","deferred","NA","deferred","2","deferred","deferred","5","NA"
"1567","4","3","deferred","deferred","deferred","NA","4","5","5"
"1568","deferred","4","deferred","deferred","deferred","deferred","2","5","5"
"1569","4","deferred","deferred","deferred","4","deferred","4","5","5"
"1570","2","deferred","deferred","deferred","deferred","NA","deferred","5","5"
"1769","4","4","4","deferred","deferred","NA","2","5","5"
"1770","4","NA","deferred","NA","deferred","NA","2","5","deferred"
"1771","NA","4","5","deferred","2","deferred","4","5","5"
"1772","4","4","deferred","NA","deferred","NA","4","5","5"
"1773","4","deferred","5","4","deferred","NA","deferred","5","5"
"648","4","4","5","5","5","NA","4","5","5"
"650","4","deferred","5","4","4","5","4","5","5"
"651","deferred","4","deferred","4","4","5","deferred","5","4"
"655","4","4","5","4","4","deferred","4","5","5"
"657","4","deferred","5","4","4","deferred","2","5","5"
"662","3","deferred","4","deferred","deferred","deferred","2","4","5"
"663","3","deferred","4","4","2","NA","4","5","5"
"664","3","4","deferred","deferred","3","4","deferred","5","5"
"665","deferred","3","deferred","4","deferred","deferred","deferred","4","5"
"666","4","deferred","4","deferred","deferred","3","deferred","5","5"
"668","4","4","5","4","4","4","deferred","5","5"
"669","4","4","4","4","4","deferred","5","5","5"
"670","4","5","5","5","5","NA","4","5","5"
"671","4","4","5","4","deferred","deferred","deferred","5","4"
"673","deferred","4","5","3","deferred","NA","2","5","5"
"674","deferred","NA","deferred","2","deferred","NA","2","4","4"
"675","3","deferred","deferred","deferred","deferred","NA","3","4","4"
"677","4","deferred","5","3","4","NA","deferred","5","5"
"678","4","5","4","deferred","deferred","NA","2","5","5"
"679","deferred","deferred","2","2","deferred","deferred","deferred","5","5"
"680","deferred","deferred","2","deferred","2","NA","deferred","5","4"
"681","deferred","4","4","deferred","4","5","deferred","4","5"
"682","deferred","3","4","deferred","4","deferred","deferred","deferred","4"
"684","2","deferred","5","5","deferred","NA","deferred","5","5"
"685","5","4","5","5","5","5","4","5","5"
"686","deferred","deferred","2","deferred","deferred","NA","deferred","5","5"
"687","deferred","deferred","2","deferred","3","4","4","5","4"
"688","4","deferred","5","deferred","4","NA","deferred","5","5"
"689","3","deferred","4","4","3","deferred","deferred","5","5"
"690","4","4","deferred","deferred","4","NA","deferred","4","5"
"691","4","4","deferred","4","deferred","4","4","4","4"
"692","4","5","5","3","deferred","4","4","5","NA"
"693","3","NA","deferred","2","deferred","NA","2","deferred","4"
"694","deferred","NA","4","4","deferred","NA","deferred","5","5"
"695","4","deferred","5","deferred","deferred","NA","deferred","5","4"
"696","deferred","deferred","deferred","deferred","deferred","NA","2","deferred","4"
"697","4","4","4","4","5","5","deferred","5","5"
"705","4","4","5","deferred","deferred","NA","4","5","5"
"712","4","4","2","deferred","2","NA","deferred","5","deferred"
"713","4","4","2","deferred","4","NA","4","4","deferred"
"714","4","4","5","5","5","NA","4","5","5"
"715","4","4","5","4","4","NA","4","5","5"
"722","4","4","5","5","4","4","deferred","4","5"
"725","4","4","5","4","4","5","4","5","5"
"733","4","4","4","4","4","deferred","deferred","5","5"
