"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.174476067813694,0.0435455286107417,0.320508945625094,0.686192468619247,0.627617363570324,0.738587760949933,0.525793650793651,0.472222222222222,0.577380952380952
"Eligibility",0.2125,NA,NA,0.653846153846154,NA,NA,0.535714285714286,NA,NA
"Recruitment",0.0224438902743141,NA,NA,0.592592592592593,NA,NA,0.517857142857143,NA,NA
"Setting",0.048158640226629,NA,NA,0.896551724137931,NA,NA,0.482142857142857,NA,NA
"Organization",0.317073170731707,NA,NA,0.785714285714286,NA,NA,0.75,NA,NA
"Flex. delivery",-0.0756302521008403,NA,NA,0.588235294117647,NA,NA,0.696428571428571,NA,NA
"Flex. adherence",0.706293706293706,NA,NA,0.823529411764706,NA,NA,0.696428571428571,NA,NA
"Follow-up",0.0183266932270916,NA,NA,0.533333333333333,NA,NA,0.732142857142857,NA,NA
"Outcome",0.188405797101449,NA,NA,0.739130434782609,NA,NA,0.178571428571429,NA,NA
"Analysis",0.183856502242152,NA,NA,0.583333333333333,NA,NA,0.142857142857143,NA,NA
