publication_id,tool,quote,best_match_source,best_match,similarity
1528,PRECIS-2,Participants were recruited for a randomized trial of adjustment groups for people with multiple sclerosis and low mood between June 2008 and September 2009.,fulltext,Participants were recruited for a randomized trial of adjustment groups for people with multiple sclerosis and low mood between June 2008 and September 2009.,100.0
1528,PRECIS-2,"The primary analysis was the cost effectiveness of an adjustment group, as compared with a usual care control group for people with multiple sclerosis who had low mood.",fulltext,"The primary analysis was the cost effectiveness of an adjustment group, as compared with a usual care control group for people with multiple sclerosis who had low mood.",100.0
1528,PRECIS-2,The groups involved teaching people to recognise symptoms of distress and introduced them to strategies to improve their mood.,fulltext,The groups involved teaching people to recognise symptoms of distress and introduced them to strategies to improve their mood.,100.0
1528,PRECIS-2,"The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.",fulltext,"The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.",100.0
1528,PRECIS-2,Participants allocated to intervention were invited to attend a psychological adjustment group for six sessions over 12 weeks.,fulltext,se allocated to intervention were invited to attend a psychological adjustment group for six sessions over 12 weeks.,91.26984126984127
1528,PRECIS-2,"Over eight months follow-up there was a decrease in the combined average costs of £378 per intervention respondent and an increase in the amount of combined resource and medication costs of £297 per patient in the control group, which was a significant difference (p=0.03).",fulltext,"Over eight months follow-up there was a decrease in the combined average costs of £378 per intervention respondent and an increase in the costs of £297 per patient in the control group, which was a significant difference (p=0.03).",84.24908424908425
1528,PRECIS-2,"Four and eight months after random allocation, participants were sent a booklet of outcome questionnaires to complete and return by post.",fulltext,"Four and eight months after random allocation, participants were sent a booklet of outcome questionnaires to complete and return by post.",100.0
1528,PRECIS-2,"Participants were included who scored >2 on the General Health Questionnaire 12, a measure of psychological distress, or >7 on the anxiety and depression subscales of the Hospital Anxiety and Depression Scale, thus confirming they had low mood.",fulltext,"participants were included who scored >2 on the General Health Questionnaire 12, 7 a measure of psychological distress, or >7 on the anxiety and depression subscales of the Hospital Anxiety and Depression Scale, 8 thus confirming they had low mood.",100.0
1528,PRECIS-2,Those allocated to intervention were invited to attend a psychological adjustment group for six sessions over 12 weeks.,fulltext,Those allocated to intervention were invited to attend a psychological adjustment group for six sessions over 12 weeks.,100.0
1569,PRECIS-2,"The blind evaluator, who did not supervise the training program, performed functional tests, questionnaires and instrumental measurements the week before treatment, the week after the end of the supervised-TOCT, after the 12-weeks home-based TOCT program.",fulltext," The blind evaluator, who did not supervise the training program, performed functional tests, questionnaires and instrumental measurements the week before treatment, the week after the end of the supervised-TOCT, after the 12-weeks home-based TOCT program",99.6078431372549
1569,PRECIS-2,Eligible patients have been randomized to 10 supervised TOCT sessions over two weeks (Phase 1) followed by a 12-weeks home-based task-oriented program (Phase 2) or a delayed-treatment group.,fulltext, have been randomly assigned to 10 supervised TOCT sessions over two weeks (Phase 1) followed by a 12-weeks home-based task-oriented program (Phase 2) or a delayed-treatment group.,90.52631578947368
1569,PRECIS-2,"At home, we recommended 60-minute sessions three times/week. The home-based program includes overground walking practice and exercises with similar modalities and difficulty as learnt during Phase 1.",fulltext,"At home, we recommended 60-minute sessions three times/week. The home-based program includes overground walking practice and exercises with similar modalities and difficulty as learnt during Phase 1.",100.0
1569,PRECIS-2,The primary outcome measure was the 6-minute walking test (6MWT) for walking endurance.,fulltext,The primary outcome measure was the 6-minute walking test (6MWT) for walking endurance.,100.0
1569,PRECIS-2,Patients have been recruited at Ferrara University Hospital from patients who attend the Rehabilitation Outpatient Clinic for gait rehabilitation.,fulltext,Patients have been recruited at Ferrara University Hospital from patients who attend the Rehabilitation Outpatient Clinic for gait rehabilitation.,100.0
1569,PRECIS-2,A mean adherence of 6.2 out of 10 was reported for the home-based TOCT program.,fulltext,A mean adherence of 6.2 out of 10 was reported for the home-based TOCT program.,100.0
