"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.819484240687679,0.528989829732375,1,0.92,0.7895293970851,1,0.950396825396825,0.93452380952381,0.968253968253968
"Eligibility",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Recruitment",NA,NA,NA,NA,NA,NA,1,NA,NA
"Setting",1,NA,NA,1,NA,NA,0.964285714285714,NA,NA
"Organization",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Flex. delivery",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Flex. adherence",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Follow-up",NA,NA,NA,NA,NA,NA,1,NA,NA
"Outcome",1,NA,NA,1,NA,NA,0.785714285714286,NA,NA
"Analysis",0.580524344569288,NA,NA,0.714285714285714,NA,NA,0.875,NA,NA
